Variable Name,Label,Type,Data Type,Value Codes,Missing Code
VAR039_5,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It convinced me to consider doing something I hadn’t planned",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR039_6,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It changed my mind about an activity",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR039_7,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - None of the above",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR040,How much did you like the narrative?,Numeric - Slider,Numeric,none,
VAR041,How creative was the narrative?,Numeric - Slider,Numeric,none,
VAR042,Was the level of creativity:,Single-Choice - Radio Buttons,Numeric,"1 = appealing
2 = appropriate
3 = too much
4 = too little",999
VAR043,Would you like more narratives like this?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = Maybe
3 = No",999
VAR044,Did you notice any issues or inconsistencies compared to the persona that you selected?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = No
3 = Not sure",999
VAR045,"If yes or not sure, briefly state where, or copy paste from the narrative:",Text - Memo,String,none,
VAR046,How much did the issues bother you?,Numeric - Slider,Numeric,none,
VAR047,Describe one inconsistency/issue and how it affected you:,Text - Memo,String,none,
VAR048,What are your general reflections after reading the narrative?,Text - Memo,String,none,
VAR049_1,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It highlighted important things I did the past week",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR049_2,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It gave a helpful summary of how I accomplished something",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR049_3,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It gave me inspiration about what to do next week",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR049_4,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It helped me find more reasons/motives for doing something",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR049_5,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It convinced me to consider doing something I hadn’t planned",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR049_6,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It changed my mind about an activity",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR049_7,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - None of the above",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR050,How much did you like the narrative?,Numeric - Slider,Numeric,none,
VAR051,How creative was the narrative?,Numeric - Slider,Numeric,none,
VAR052,Was the level of creativity:,Single-Choice - Radio Buttons,Numeric,"1 = appealing
2 = appropriate
3 = too much
4 = too little",999
VAR053,Would you like more narratives like this?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = Maybe
3 = No",999
VAR054,Which persona did you not select?,Single-Choice - Radio Buttons,Numeric,"1 = Persona B
2 = Persona D",999
VAR055,Did you notice any issues or inconsistencies compared to the persona that you selected?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = No
3 = Not sure",999
VAR056,"If yes or not sure, briefly state where, or copy paste from the narrative:",Text - Memo,String,none,
VAR057,How much did the issues bother you?,Numeric - Slider,Numeric,none,
VAR058,Describe one inconsistency/issue and how it affected you:,Text - Memo,String,none,
VAR059,What are your general reflections after reading the narrative?,Text - Memo,String,none,
VAR060_1,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It highlighted important things I did the past week",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR060_2,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It gave a helpful summary of how I accomplished something",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR060_3,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It gave me inspiration about what to do next week",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
